yaml_file	total_tokens	protein_length	rna_length	dna_length	ligand_count	elapsed_seconds	memory_used_mb	memory_total_mb	memory_percent	gpu_util	temperature	success	job_runtime_seconds
gr24_A0A1I9LPH3.yaml	50	50	0	0	1	26.719	0	81920	0.0	0	34	True	46.10
gr24_A0A1I9LPH3.yaml	50	50	0	0	1	27.242	0	81920	0.0	0	35	True	46.10
gr24_A0A1I9LPH3.yaml	50	50	0	0	1	27.761	0	81920	0.0	0	35	True	46.10
gr24_A0A1I9LPH3.yaml	50	50	0	0	1	28.284	0	81920	0.0	0	35	True	46.10
gr24_A0A1I9LPH3.yaml	50	50	0	0	1	28.981	0	81920	0.0	0	35	True	46.10
gr24_A0A1I9LPH3.yaml	50	50	0	0	1	29.666	0	81920	0.0	0	35	True	46.10
gr24_A0A1I9LPH3.yaml	50	50	0	0	1	30.429	0	81920	0.0	0	35	True	46.10
gr24_A0A1I9LPH3.yaml	50	50	0	0	1	31.123	0	81920	0.0	0	35	True	46.10
gr24_A0A1I9LPH3.yaml	50	50	0	0	1	31.801	20	81920	0.02	0	35	True	46.10
gr24_A0A1I9LPH3.yaml	50	50	0	0	1	32.349	2533	81920	3.09	22	35	True	46.10
gr24_A0A1I9LPH3.yaml	50	50	0	0	1	32.866	2645	81920	3.23	0	35	True	46.10
gr24_A0A1I9LPH3.yaml	50	50	0	0	1	33.386	2685	81920	3.28	1	35	True	46.10
gr24_A0A1I9LPH3.yaml	50	50	0	0	1	33.917	2737	81920	3.34	27	36	True	46.10
gr24_A0A1I9LPH3.yaml	50	50	0	0	1	34.45	2737	81920	3.34	41	37	True	46.10
gr24_A0A1I9LPH3.yaml	50	50	0	0	1	34.981	2737	81920	3.34	41	37	True	46.10
gr24_A0A1I9LPH3.yaml	50	50	0	0	1	35.51	2795	81920	3.41	11	40	True	46.10
gr24_A0A1I9LPH3.yaml	50	50	0	0	1	36.04	2795	81920	3.41	91	44	True	46.10
gr24_A0A1I9LPH3.yaml	50	50	0	0	1	36.57	2795	81920	3.41	92	46	True	46.10
gr24_A0A1I9LPH3.yaml	50	50	0	0	1	37.1	2795	81920	3.41	90	49	True	46.10
gr24_A0A1I9LPH3.yaml	50	50	0	0	1	37.629	2795	81920	3.41	91	50	True	46.10
gr24_A0A1I9LPH3.yaml	50	50	0	0	1	38.185	2795	81920	3.41	91	51	True	46.10
gr24_A0A1I9LPH3.yaml	50	50	0	0	1	38.711	2795	81920	3.41	92	52	True	46.10
gr24_A0A1I9LPH3.yaml	50	50	0	0	1	39.242	2795	81920	3.41	91	54	True	46.10
gr24_A0A1I9LPH3.yaml	50	50	0	0	1	39.773	2795	81920	3.41	91	54	True	46.10
gr24_A0A1I9LPH3.yaml	50	50	0	0	1	40.301	2795	81920	3.41	91	55	True	46.10
gr24_A0A1I9LPH3.yaml	50	50	0	0	1	40.826	2795	81920	3.41	90	56	True	46.10
gr24_A0A1I9LPH3.yaml	50	50	0	0	1	41.355	2795	81920	3.41	92	56	True	46.10
gr24_A0A1I9LPH3.yaml	50	50	0	0	1	41.882	2801	81920	3.42	75	52	True	46.10
gr24_A0A1I9LPH3.yaml	50	50	0	0	1	42.413	2807	81920	3.43	0	50	True	46.10
gr24_A0A1I9LPH3.yaml	50	50	0	0	1	42.94	2807	81920	3.43	8	47	True	46.10
gr24_A0A1I9LPH3.yaml	50	50	0	0	1	43.469	555	81920	0.68	9	46	True	46.10
gr24_A0A1I9LPH3.yaml	50	50	0	0	1	43.999	555	81920	0.68	0	44	True	46.10
gr24_A0A1I9LPH3.yaml	50	50	0	0	1	44.534	519	81920	0.63	0	44	True	46.10
gr24_A0A1I9LPH3.yaml	50	50	0	0	1	45.062	519	81920	0.63	0	43	True	46.10
gr24_A0A1I9LPH3.yaml	50	50	0	0	1	45.591	519	81920	0.63	0	42	True	46.10
gr24_Q3E870.yaml	100	100	0	0	1	0.0	0	81920	0.0	7	42	True	81.61
gr24_Q3E870.yaml	100	100	0	0	1	0.519	0	81920	0.0	0	41	True	81.61
gr24_Q3E870.yaml	100	100	0	0	1	1.041	0	81920	0.0	0	40	True	81.61
gr24_Q3E870.yaml	100	100	0	0	1	1.565	0	81920	0.0	0	39	True	81.61
gr24_Q3E870.yaml	100	100	0	0	1	2.092	0	81920	0.0	0	38	True	81.61
gr24_Q3E870.yaml	100	100	0	0	1	2.619	0	81920	0.0	0	38	True	81.61
gr24_Q3E870.yaml	100	100	0	0	1	3.147	0	81920	0.0	0	37	True	81.61
gr24_Q3E870.yaml	100	100	0	0	1	3.682	0	81920	0.0	0	37	True	81.61
gr24_Q3E870.yaml	100	100	0	0	1	4.211	0	81920	0.0	0	36	True	81.61
gr24_Q3E870.yaml	100	100	0	0	1	4.794	0	81920	0.0	0	36	True	81.61
gr24_Q3E870.yaml	100	100	0	0	1	5.327	0	81920	0.0	0	36	True	81.61
gr24_Q3E870.yaml	100	100	0	0	1	5.855	0	81920	0.0	0	36	True	81.61
gr24_Q3E870.yaml	100	100	0	0	1	6.376	0	81920	0.0	0	35	True	81.61
gr24_Q3E870.yaml	100	100	0	0	1	6.906	0	81920	0.0	0	35	True	81.61
gr24_Q3E870.yaml	100	100	0	0	1	7.435	0	81920	0.0	0	35	True	81.61
gr24_Q3E870.yaml	100	100	0	0	1	7.965	0	81920	0.0	0	35	True	81.61
gr24_Q3E870.yaml	100	100	0	0	1	8.5	0	81920	0.0	0	35	True	81.61
gr24_Q3E870.yaml	100	100	0	0	1	9.028	0	81920	0.0	0	35	True	81.61
gr24_Q3E870.yaml	100	100	0	0	1	9.557	0	81920	0.0	0	34	True	81.61
gr24_Q3E870.yaml	100	100	0	0	1	10.088	0	81920	0.0	0	34	True	81.61
gr24_Q3E870.yaml	100	100	0	0	1	10.617	0	81920	0.0	0	34	True	81.61
gr24_Q3E870.yaml	100	100	0	0	1	11.147	0	81920	0.0	0	34	True	81.61
gr24_Q3E870.yaml	100	100	0	0	1	11.671	0	81920	0.0	0	34	True	81.61
gr24_Q3E870.yaml	100	100	0	0	1	12.192	0	81920	0.0	0	34	True	81.61
gr24_Q3E870.yaml	100	100	0	0	1	12.713	0	81920	0.0	0	34	True	81.61
gr24_Q3E870.yaml	100	100	0	0	1	13.238	0	81920	0.0	0	34	True	81.61
gr24_Q3E870.yaml	100	100	0	0	1	13.759	0	81920	0.0	0	34	True	81.61
gr24_Q3E870.yaml	100	100	0	0	1	14.285	0	81920	0.0	0	34	True	81.61
gr24_Q3E870.yaml	100	100	0	0	1	14.803	0	81920	0.0	0	34	True	81.61
gr24_Q3E870.yaml	100	100	0	0	1	15.321	0	81920	0.0	0	34	True	81.61
gr24_Q3E870.yaml	100	100	0	0	1	15.849	0	81920	0.0	0	33	True	81.61
gr24_Q3E870.yaml	100	100	0	0	1	16.371	0	81920	0.0	0	33	True	81.61
gr24_Q3E870.yaml	100	100	0	0	1	16.894	0	81920	0.0	0	33	True	81.61
gr24_Q3E870.yaml	100	100	0	0	1	17.412	0	81920	0.0	0	33	True	81.61
gr24_Q3E870.yaml	100	100	0	0	1	17.936	0	81920	0.0	0	33	True	81.61
gr24_Q3E870.yaml	100	100	0	0	1	18.459	0	81920	0.0	0	33	True	81.61
gr24_Q3E870.yaml	100	100	0	0	1	18.98	0	81920	0.0	0	33	True	81.61
gr24_Q3E870.yaml	100	100	0	0	1	19.498	0	81920	0.0	0	33	True	81.61
gr24_Q3E870.yaml	100	100	0	0	1	20.025	0	81920	0.0	0	33	True	81.61
gr24_Q3E870.yaml	100	100	0	0	1	20.543	0	81920	0.0	0	33	True	81.61
gr24_Q3E870.yaml	100	100	0	0	1	21.061	0	81920	0.0	0	33	True	81.61
gr24_Q3E870.yaml	100	100	0	0	1	21.585	0	81920	0.0	0	33	True	81.61
gr24_Q3E870.yaml	100	100	0	0	1	22.104	0	81920	0.0	0	33	True	81.61
gr24_Q3E870.yaml	100	100	0	0	1	22.632	0	81920	0.0	0	33	True	81.61
gr24_Q3E870.yaml	100	100	0	0	1	23.152	0	81920	0.0	0	33	True	81.61
gr24_Q3E870.yaml	100	100	0	0	1	23.673	0	81920	0.0	0	33	True	81.61
gr24_Q3E870.yaml	100	100	0	0	1	24.196	0	81920	0.0	0	33	True	81.61
gr24_Q3E870.yaml	100	100	0	0	1	24.715	0	81920	0.0	0	33	True	81.61
gr24_Q3E870.yaml	100	100	0	0	1	25.236	0	81920	0.0	0	33	True	81.61
gr24_Q3E870.yaml	100	100	0	0	1	25.767	0	81920	0.0	0	33	True	81.61
gr24_Q3E870.yaml	100	100	0	0	1	26.284	0	81920	0.0	0	33	True	81.61
gr24_Q3E870.yaml	100	100	0	0	1	26.816	0	81920	0.0	0	33	True	81.61
gr24_Q3E870.yaml	100	100	0	0	1	27.336	0	81920	0.0	0	33	True	81.61
gr24_Q3E870.yaml	100	100	0	0	1	27.853	0	81920	0.0	0	32	True	81.61
gr24_Q3E870.yaml	100	100	0	0	1	28.371	0	81920	0.0	0	32	True	81.61
gr24_Q3E870.yaml	100	100	0	0	1	28.895	0	81920	0.0	0	32	True	81.61
gr24_Q3E870.yaml	100	100	0	0	1	29.415	0	81920	0.0	0	32	True	81.61
gr24_Q3E870.yaml	100	100	0	0	1	29.993	677	81920	0.83	0	33	True	81.61
gr24_Q3E870.yaml	100	100	0	0	1	30.511	2609	81920	3.18	27	34	True	81.61
gr24_Q3E870.yaml	100	100	0	0	1	31.028	2615	81920	3.19	0	34	True	81.61
gr24_Q3E870.yaml	100	100	0	0	1	31.551	2675	81920	3.27	1	34	True	81.61
gr24_Q3E870.yaml	100	100	0	0	1	32.081	2721	81920	3.32	1	34	True	81.61
gr24_Q3E870.yaml	100	100	0	0	1	32.616	2721	81920	3.32	0	35	True	81.61
gr24_Q3E870.yaml	100	100	0	0	1	33.144	2721	81920	3.32	0	35	True	81.61
gr24_Q3E870.yaml	100	100	0	0	1	33.674	2721	81920	3.32	0	35	True	81.61
gr24_Q3E870.yaml	100	100	0	0	1	34.201	2721	81920	3.32	0	35	True	81.61
gr24_Q3E870.yaml	100	100	0	0	1	34.729	2721	81920	3.32	0	35	True	81.61
gr24_Q3E870.yaml	100	100	0	0	1	35.262	2801	81920	3.42	0	35	True	81.61
gr24_Q3E870.yaml	100	100	0	0	1	35.791	2921	81920	3.57	0	35	True	81.61
gr24_Q3E870.yaml	100	100	0	0	1	36.309	2921	81920	3.57	34	37	True	81.61
gr24_Q3E870.yaml	100	100	0	0	1	36.831	2921	81920	3.57	36	38	True	81.61
gr24_Q3E870.yaml	100	100	0	0	1	37.358	2967	81920	3.62	24	37	True	81.61
gr24_Q3E870.yaml	100	100	0	0	1	37.886	2967	81920	3.62	59	39	True	81.61
gr24_Q3E870.yaml	100	100	0	0	1	38.417	2967	81920	3.62	59	40	True	81.61
gr24_Q3E870.yaml	100	100	0	0	1	38.952	2967	81920	3.62	59	41	True	81.61
gr24_Q3E870.yaml	100	100	0	0	1	39.482	2967	81920	3.62	60	42	True	81.61
gr24_Q3E870.yaml	100	100	0	0	1	40.009	2967	81920	3.62	59	42	True	81.61
gr24_Q3E870.yaml	100	100	0	0	1	40.537	2967	81920	3.62	60	42	True	81.61
gr24_Q3E870.yaml	100	100	0	0	1	41.063	2967	81920	3.62	59	43	True	81.61
gr24_Q3E870.yaml	100	100	0	0	1	41.591	2967	81920	3.62	60	43	True	81.61
gr24_Q3E870.yaml	100	100	0	0	1	42.121	2967	81920	3.62	60	44	True	81.61
gr24_Q3E870.yaml	100	100	0	0	1	42.648	2967	81920	3.62	60	44	True	81.61
gr24_Q3E870.yaml	100	100	0	0	1	43.18	2967	81920	3.62	61	44	True	81.61
gr24_Q3E870.yaml	100	100	0	0	1	43.707	2967	81920	3.62	4	43	True	81.61
gr24_Q3E870.yaml	100	100	0	0	1	44.238	2967	81920	3.62	5	41	True	81.61
gr24_Q3E870.yaml	100	100	0	0	1	44.766	2967	81920	3.62	6	41	True	81.61
